,Asterionellopsis,Cerataulina,Ceratium,Chaetoceros,Corethron,Coscinodiscus,Cylindrotheca,DactFragCerataul,Dactyliosolen,Dictyocha,Dinobryon,Dinophysis,Ditylum,Ephemera,Eucampia,Euglena,Gonyaulax,Guinardia,Guinardia_flaccida,Guinardia_striata,Gyrodinium,Hemiaulus,Laboea,Lauderia,Leptocylindrus,Licmophora,Myrionecta,Odontella,Paralia,Phaeocystis,Pleurosigma,Prorocentrum,Pseudonitzschia,Pyramimonas,Rhizosolenia,Skeletonema,Stephanopyxis,Thalassionema,Thalassiosira,Thalassiosira_dirty,bad,ciliate_mix,clusterflagellate,detritus,dino30,kiteflagellates,mix,mix_elongated,pennate,tintinnid
2016-06-10T18:50:37Z,4.56265423427,14.8286262614,0.570331779284,29.6572525228,0.0,0.0,1.14066355857,2.28132711714,5.13298601356,0.0,10.8363038064,1.14066355857,0.0,1.14066355857,1.71099533785,0.0,0.0,4.56265423427,13.1176309235,0.570331779284,0.0,1.14066355857,0.0,0.0,7.98464490998,0.570331779284,1.71099533785,0.0,0.0,1.14066355857,0.0,0.570331779284,0.0,12.5472991443,0.0,15.96928982,0.0,0.0,2.85165889642,0.570331779284,0.0,5.13298601356,4.56265423427,88.9717575683,58.173841487,4.56265423427,2723.33424608,49.0485330184,1.14066355857,1.71099533785
2016-06-10T19:10:30Z,5.72114302637,7.62819070183,1.90704767546,20.0240005923,1.43028575659,1.43028575659,0.476761918864,2.38380959432,1.43028575659,0.0,7.15142878296,2.86057151319,0.953523837728,0.0,3.81409535091,0.0,0.476761918864,1.43028575659,19.0704767546,0.0,0.476761918864,0.953523837728,0.953523837728,0.0,9.05847645842,0.0,2.38380959432,0.0,0.476761918864,3.33733343205,0.0,0.0,0.0,6.19790494523,0.0,11.9190479716,0.0,0.476761918864,2.38380959432,2.86057151319,0.0,5.72114302637,1.90704767546,89.1544788276,52.9205729939,2.86057151319,2668.43645988,52.4438110751,1.43028575659,0.953523837728
2016-06-10T19:33:43Z,5.57763347287,14.873689261,2.32401394703,24.1697450491,0.464802789405,0.464802789405,2.78881673643,2.78881673643,4.64802789405,0.464802789405,8.3664502093,2.32401394703,0.464802789405,0.0,2.32401394703,0.0,0.0,2.78881673643,12.0848725245,0.929605578811,0.464802789405,0.464802789405,0.0,0.0,7.43684463049,0.464802789405,1.39440836822,0.0,0.464802789405,1.85921115762,0.0,1.85921115762,0.464802789405,11.1552669457,1.39440836822,15.8032948398,0.0,0.464802789405,1.85921115762,2.32401394703,0.464802789405,6.04243626227,0.929605578811,85.0589104612,51.1283068346,9.76085857752,2714.44829013,66.9316016744,0.929605578811,0.464802789405
2016-06-10T19:56:55Z,4.47750860675,17.0145327057,1.7910034427,26.8650516405,1.7910034427,0.447750860675,1.34325258203,0.0,6.71626291013,0.0,9.40276807418,1.7910034427,1.34325258203,0.0,1.7910034427,0.0,0.0,1.34325258203,14.7757784023,0.0,0.447750860675,1.34325258203,0.0,0.0,8.05951549215,0.0,3.5820068854,0.0,0.447750860675,1.34325258203,0.0,0.447750860675,0.0,8.50726635283,0.447750860675,21.9397921731,0.0,0.89550172135,4.02975774608,1.34325258203,0.0,7.61176463148,1.34325258203,79.2519023395,52.386850699,4.92525946743,2550.38890241,75.2221445934,1.7910034427,0.447750860675
2016-06-10T20:20:07Z,5.26077653634,16.1580993616,0.375769752595,42.4619820433,2.25461851557,1.12730925779,4.13346727855,3.38192777336,19.9157968876,0.375769752595,6.38808579412,0.375769752595,0.375769752595,0.0,1.50307901038,0.0,0.0,2.63038826817,11.6488623305,0.375769752595,0.751539505191,1.87884876298,0.0,0.0,12.7761715882,0.0,1.12730925779,0.0,0.0,0.375769752595,0.0,0.751539505191,0.375769752595,7.13962529931,0.375769752595,22.5461851557,0.0,0.375769752595,3.00615802076,1.87884876298,0.0,5.26077653634,0.751539505191,59.3716209101,37.5769752595,6.76385554672,1752.5901261,58.6200814049,0.751539505191,0.375769752595
2016-06-10T20:43:20Z,3.8900303967,19.8391550232,0.77800607934,56.4054407521,0.77800607934,0.0,4.27903343637,2.33401823802,18.2831428645,0.0,10.1140790314,0.38900303967,1.16700911901,0.38900303967,1.55601215868,0.0,0.0,3.50102735703,9.33607295207,0.38900303967,1.94501519835,3.8900303967,0.0,0.0,19.8391550232,0.38900303967,1.94501519835,0.0,0.0,1.16700911901,0.38900303967,0.0,0.38900303967,10.5030820711,1.94501519835,28.0082188562,0.0,2.33401823802,3.8900303967,1.16700911901,0.38900303967,6.22404863472,1.16700911901,70.0205471406,42.7903343637,8.16906383306,1840.37338068,77.0226018546,1.16700911901,1.16700911901
2016-06-10T21:06:31Z,5.03245399878,29.3559816596,0.838742333131,72.5512118158,1.67748466626,0.0,6.70993866504,1.67748466626,25.1622699939,0.838742333131,13.8392484967,0.419371166565,0.419371166565,0.0,2.09685583283,0.0,0.0,6.70993866504,10.4842791641,0.838742333131,1.67748466626,4.61308283222,0.419371166565,0.0,31.4528374924,0.419371166565,1.67748466626,0.0,0.0,2.09685583283,0.0,0.419371166565,0.419371166565,14.2586196632,2.09685583283,34.8078068249,0.0,0.0,2.93559816596,0.0,0.0,5.45182516535,1.2581134997,97.2941106431,49.0664264881,5.45182516535,2132.50238198,98.5522241428,0.838742333131,0.838742333131
2016-06-10T21:29:45Z,6.98617755661,31.4377990048,1.74654438915,75.1014087336,2.61981658373,0.873272194577,4.80299707017,5.23963316746,23.5783492536,0.436636097288,11.3525385295,0.436636097288,0.873272194577,0.0,1.30990829187,0.0,0.0,1.74654438915,13.0990829187,1.30990829187,0.873272194577,2.61981658373,0.0,0.0,13.9723551132,0.436636097288,2.18318048644,0.0,0.0,1.30990829187,0.0,1.74654438915,0.873272194577,12.2258107241,3.05645268102,38.8606126587,0.0,0.0,3.9297248756,0.873272194577,0.873272194577,5.67626926475,1.74654438915,100.426302376,53.7062399665,9.16935804306,2325.08721806,89.0737638468,0.873272194577,1.30990829187
2016-06-10T21:52:56Z,5.81295649874,33.0891369928,0.447150499903,75.1212839837,1.78860199961,0.894300999806,2.68290299942,4.02435449913,16.9917189963,0.0,12.5202139973,0.447150499903,0.447150499903,0.0,1.78860199961,0.0,0.0,4.02435449913,6.70725749855,0.0,0.447150499903,6.26010699864,0.0,0.0,20.5689229955,0.894300999806,3.57720399922,0.0,0.0,0.0,0.0,0.894300999806,0.447150499903,10.7316119977,0.894300999806,38.9020934916,0.0,0.0,3.13005349932,1.78860199961,0.0,5.36580599884,2.68290299942,84.0642939818,64.8368224859,4.91865549893,2422.21425797,93.0073039798,3.57720399922,1.78860199961
2016-06-10T22:16:09Z,4.93966572534,41.7626284051,0.89812104097,76.3402884825,1.79624208194,0.0,4.49060520485,4.04154468437,13.920876135,0.0,16.1661787375,1.79624208194,0.0,0.0,0.89812104097,0.0,0.0,8.9812104097,11.6755735326,2.69436312291,0.0,2.69436312291,0.0,0.0,24.2492681062,0.0,3.59248416388,0.0,0.0,1.34718156146,0.0,0.449060520485,1.79624208194,11.6755735326,2.24530260243,38.6192047617,0.0,0.89812104097,3.1434236434,3.1434236434,0.449060520485,9.87933145067,1.79624208194,101.93673815,59.275988704,11.6755735326,2497.67461494,105.080161794,3.1434236434,0.89812104097
2016-06-10T22:39:51Z,5.0723413188,29.5118040367,0.0,79.7740952866,0.922243876146,0.461121938073,5.99458519495,3.68897550458,18.4448775229,0.461121938073,13.3725362041,2.30560969036,1.38336581422,0.461121938073,0.922243876146,0.0,0.0,5.53346325687,11.0669265137,0.461121938073,0.461121938073,4.15009744265,0.461121938073,0.0,21.2116091513,0.461121938073,3.22785356651,0.0,0.0,3.22785356651,0.0,2.76673162844,0.461121938073,12.911414266,1.84448775229,41.0398524885,0.0,0.922243876146,1.84448775229,2.76673162844,0.0,7.37795100916,1.38336581422,118.047216147,57.179120321,8.30019488531,2372.93349332,97.2967289334,1.84448775229,0.922243876146
2016-06-10T23:02:33Z,5.81498896904,38.4683885644,0.447306843772,95.2763577235,1.34192053132,0.447306843772,3.57845475018,4.02576159395,16.1030463758,0.0,10.7353642505,2.23653421886,0.447306843772,0.447306843772,1.78922737509,0.0,0.0,2.68384106263,7.15690950036,0.447306843772,0.447306843772,4.02576159395,0.0,0.0,26.3911037826,0.447306843772,2.68384106263,0.0,0.447306843772,3.13114790641,0.0,1.78922737509,0.0,9.84075056299,2.68384106263,30.8641722203,0.0,0.0,3.13114790641,1.34192053132,0.447306843772,7.60421634413,1.34192053132,105.56441513,60.833730753,7.60421634413,2420.8246385,93.9344371922,5.36768212527,0.894613687545
2016-06-10T23:25:46Z,7.13161211875,32.9837060492,0.0,79.3391848211,2.22862878711,0.445725757422,6.68588636133,2.67435454453,12.4803212078,0.445725757422,13.3717727227,2.67435454453,1.33717727227,0.445725757422,1.33717727227,0.0,0.0,2.22862878711,8.02306363359,0.445725757422,0.891451514844,1.78290302969,0.0,0.0,19.1662075691,0.0,3.12008030195,0.0,0.0,0.891451514844,0.0,3.56580605937,2.22862878711,7.13161211875,1.33717727227,31.6465287769,0.445725757422,1.33717727227,3.12008030195,1.33717727227,0.0,8.02306363359,0.891451514844,116.780148445,57.4986227074,9.80596666328,2422.51949159,93.6024090586,1.33717727227,0.445725757422
2016-06-10T23:49:19Z,8.71009818362,23.5685009674,0.0,46.6246432182,2.04943486673,0.0,3.58651101679,2.04943486673,5.63594588352,1.53707615005,17.4201963672,1.02471743337,0.0,0.512358716684,2.56179358342,0.0,0.0,7.17302203357,10.2471743337,0.512358716684,1.53707615005,4.09886973347,0.0,0.0,16.3954789339,0.0,2.56179358342,0.0,0.0,3.58651101679,0.0,2.04943486673,1.02471743337,12.2966092004,0.512358716684,27.1550119842,0.0,0.512358716684,2.56179358342,1.53707615005,0.0,7.17302203357,1.53707615005,127.577320454,76.8538075025,6.66066331689,3113.09156257,99.3975910366,0.512358716684,1.53707615005
2016-06-11T00:12:10Z,7.56476764942,34.293613344,0.504317843295,46.9015594264,2.01727137318,0.504317843295,4.53886058965,1.00863568659,10.0863568659,0.0,14.6252174556,1.51295352988,0.0,0.0,2.52158921647,0.0,0.504317843295,3.02590705977,10.0863568659,0.504317843295,2.01727137318,1.51295352988,0.0,0.0,10.0863568659,0.504317843295,2.52158921647,0.0,0.0,1.51295352988,0.0,1.51295352988,0.504317843295,12.6079460824,2.01727137318,22.6943029483,0.0,1.00863568659,5.54749627624,1.00863568659,0.0,9.5820390226,1.00863568659,133.13991063,65.057001785,11.5993103958,3116.17995372,88.7599404199,2.01727137318,1.51295352988
2016-06-11T00:35:21Z,8.84714232749,21.3372256134,0.520420136911,41.6336109529,3.64294095838,0.0,4.16336109529,2.08168054765,11.449243012,0.0,9.3675624644,1.04084027382,1.04084027382,0.0,3.12252082147,0.0,0.0,4.16336109529,12.4900832859,1.04084027382,1.04084027382,1.04084027382,0.0,0.0,15.6126041073,0.0,4.6837812322,0.520420136911,0.0,2.60210068456,0.0,2.08168054765,0.520420136911,10.4084027382,1.56126041073,36.4294095838,0.0,0.520420136911,3.12252082147,2.08168054765,0.0,6.76546177985,1.04084027382,128.02335368,65.5729372508,11.969663149,3045.4986412,86.3897427273,1.04084027382,0.520420136911
2016-06-11T00:58:34Z,6.94611155451,21.3726509369,1.60294882027,34.1962414991,1.60294882027,0.534316273424,4.80884646081,1.06863254685,9.0833766482,0.0,8.01474410135,0.534316273424,1.06863254685,0.0,1.60294882027,0.0,0.0,3.20589764054,9.61769292163,0.0,0.534316273424,0.534316273424,0.0,0.0,12.8235905622,1.06863254685,2.67158136712,0.0,0.0,1.06863254685,0.0,1.60294882027,0.0,5.34316273424,1.06863254685,25.1128648509,0.534316273424,0.0,5.34316273424,3.20589764054,0.534316273424,6.94611155451,2.67158136712,107.397570958,56.6375249829,5.34316273424,2979.34754061,67.8581667248,0.534316273424,0.534316273424
2016-06-11T01:21:46Z,2.91012402076,11.0584712789,0.582024804151,24.4450417743,0.582024804151,0.582024804151,0.0,0.582024804151,4.65619843321,0.582024804151,1.1640496083,2.3280992166,0.0,0.0,1.1640496083,0.0,0.0,1.1640496083,6.40227284566,0.582024804151,1.74607441245,0.0,0.0,0.0,5.23822323736,1.1640496083,1.1640496083,0.0,1.1640496083,1.1640496083,0.0,1.74607441245,0.0,7.56632245396,0.0,15.1326449079,0.0,0.0,1.1640496083,1.1640496083,0.0,4.07417362906,1.74607441245,68.6789268898,48.8900835487,2.91012402076,3048.06389934,66.3508276732,0.0,0.0
2016-06-11T01:44:59Z,2.95980861088,15.9829664988,0.591961722176,33.7418181641,0.591961722176,0.591961722176,1.18392344435,1.77588516653,2.36784688871,0.591961722176,8.28746411047,3.55177033306,0.0,0.0,1.18392344435,0.591961722176,0.0,1.18392344435,12.4311961657,0.591961722176,2.95980861088,1.77588516653,0.0,0.0,4.73569377741,0.591961722176,3.55177033306,0.0,1.18392344435,1.18392344435,0.0,2.36784688871,0.591961722176,7.10354066612,0.0,27.8222009423,0.0,1.18392344435,3.55177033306,0.591961722176,0.591961722176,3.55177033306,2.36784688871,89.9781817708,58.0122487733,5.32765549959,3184.16210359,67.4836363281,1.18392344435,1.18392344435
2016-06-11T02:08:11Z,3.91860762728,15.6744305091,0.559801089611,34.1478664663,0.559801089611,0.0,2.23920435844,1.67940326883,4.47840871689,0.0,10.076419613,1.11960217922,0.559801089611,0.0,0.559801089611,0.0,0.0,1.11960217922,6.15781198572,0.0,0.0,0.559801089611,0.0,0.0,4.47840871689,0.559801089611,0.559801089611,0.0,1.11960217922,1.11960217922,0.0,3.35880653767,0.0,5.0382098065,1.11960217922,25.7508501221,0.0,0.0,4.47840871689,1.11960217922,0.0,5.59801089611,1.11960217922,81.1711579936,50.9418991546,5.0382098065,3054.83454601,62.1379209468,0.559801089611,1.11960217922
2016-06-11T02:31:23Z,9.22213672659,12.4770085124,0.542478630976,29.2938460727,1.62743589293,0.0,0.542478630976,0.542478630976,2.71239315488,0.0,5.96726494073,1.08495726195,0.542478630976,0.542478630976,2.1699145239,0.0,0.542478630976,3.25487178585,6.50974357171,0.0,0.542478630976,1.08495726195,1.08495726195,0.0,4.88230767878,0.542478630976,2.1699145239,0.0,1.62743589293,1.08495726195,0.542478630976,3.79735041683,0.0,5.96726494073,0.0,19.5292307151,0.0,0.0,2.1699145239,1.08495726195,0.542478630976,7.59470083366,2.1699145239,76.4894869676,61.8425639312,2.1699145239,2951.08375251,59.1301707763,1.08495726195,1.62743589293
2016-06-11T02:54:35Z,4.41183661449,13.2355098435,1.47061220483,34.8044888477,2.94122440966,0.490204068277,1.47061220483,0.490204068277,3.43142847794,0.0,6.3726528876,0.980408136554,0.0,0.490204068277,0.980408136554,0.0,0.0,0.0,5.39224475105,0.490204068277,0.0,0.980408136554,0.0,0.0,5.88244881933,0.980408136554,0.980408136554,0.0,0.0,1.47061220483,0.0,2.94122440966,0.0,8.33346916071,0.0,16.1767342531,0.0,0.980408136554,1.96081627311,0.980408136554,0.490204068277,3.43142847794,1.47061220483,75.9816305829,52.9420393739,2.45102034139,2655.43543786,49.0204068277,0.490204068277,0.980408136554
